agent,episode,steps
dynaq+,599,108
dynaq,600,40
dynaq+,600,157
dynaq,601,51
dynaq+,601,89
dynaq,602,4850
dynaq+,602,1750
dynaq,603,1077
dynaq+,603,139
dynaq,604,59
dynaq+,604,1123
dynaq,605,245
dynaq+,605,94
dynaq,606,43
dynaq+,606,112
dynaq,607,1838
dynaq+,607,99
dynaq,608,86
dynaq+,608,105
dynaq,609,53
dynaq+,609,3000
dynaq,610,143
dynaq+,610,1397
dynaq,611,101
dynaq+,611,69
dynaq,612,46
dynaq+,612,5486
dynaq,613,53
dynaq+,613,2475
dynaq,614,55
dynaq+,614,95
dynaq,615,41
dynaq+,615,183
dynaq,616,45
dynaq+,616,53
dynaq,617,48
dynaq+,617,48
dynaq,618,4053
dynaq+,618,225
dynaq,619,142
dynaq+,619,52
dynaq,620,8322
dynaq+,620,59
dynaq,621,63
dynaq+,621,90
dynaq,622,502
dynaq+,622,39
dynaq,623,451
dynaq+,623,232
dynaq,624,66
dynaq+,624,289
dynaq,625,52
dynaq+,625,43
dynaq,626,49
dynaq+,626,73
dynaq,627,59
dynaq+,627,82
dynaq,628,43
dynaq+,628,252
dynaq,629,55
dynaq+,629,5534
dynaq,630,129
dynaq+,630,96
dynaq,631,45
dynaq+,631,174
dynaq,632,72
dynaq+,632,98
dynaq,633,42
dynaq+,633,1613
dynaq,634,68
dynaq+,634,52
dynaq,635,55
dynaq+,635,38
dynaq,636,45
dynaq+,636,5122
dynaq,637,45
dynaq+,637,105
dynaq,638,121
dynaq+,638,49
dynaq,639,48
dynaq+,639,130
dynaq,640,41
dynaq+,640,283
dynaq,641,49
dynaq+,641,46
dynaq,642,45
dynaq+,642,1282
dynaq,643,109
dynaq+,643,50
dynaq,644,530
dynaq+,644,50
dynaq,645,63
dynaq+,645,40
dynaq,646,72
dynaq+,646,980
dynaq,647,50
dynaq+,647,39
dynaq,648,117
dynaq+,648,272
dynaq,649,41
dynaq+,649,74
dynaq,650,47
dynaq+,650,86
dynaq,651,40
dynaq+,651,486
dynaq,652,82
dynaq+,652,292
dynaq,653,153
dynaq+,653,194
dynaq,654,54
dynaq+,654,240
dynaq,655,49
dynaq+,655,211
dynaq,656,218
dynaq+,656,59
dynaq,657,120
dynaq+,657,70
dynaq,658,106
dynaq+,658,41
dynaq,659,123
dynaq+,659,108
dynaq,660,271
dynaq+,660,84
dynaq,661,143
dynaq+,661,46
dynaq,662,44
dynaq+,662,57
dynaq,663,42
dynaq+,663,205
dynaq,664,40
dynaq+,664,47
dynaq,665,38
dynaq+,665,243
dynaq,666,45
dynaq+,666,50
dynaq,667,49
dynaq+,667,8355
dynaq,668,108
dynaq+,668,89
dynaq,669,40
dynaq+,669,52
dynaq,670,2757
dynaq+,670,148
dynaq,671,48
dynaq+,671,126
dynaq,672,47
dynaq+,672,39
dynaq,673,42
dynaq+,673,83
dynaq,674,50
dynaq+,674,49
dynaq,675,39
dynaq+,675,157
dynaq,676,37
dynaq+,676,110
dynaq,677,145
dynaq+,677,38
dynaq,678,48
dynaq+,678,137
dynaq,679,112
dynaq+,679,290
dynaq,680,38
dynaq+,680,48
dynaq,681,48
dynaq+,681,47
dynaq,682,47
dynaq+,682,108
dynaq,683,4821
dynaq+,683,58
dynaq,684,43
dynaq+,684,101
dynaq,685,67
dynaq+,685,158
dynaq,686,43
dynaq+,686,1923
dynaq,687,39
dynaq+,687,83
dynaq,688,395
dynaq+,688,42
dynaq,689,40
dynaq+,689,81
dynaq,690,669
dynaq+,690,55
dynaq,691,44
dynaq+,691,5781
dynaq,692,44
dynaq+,692,146
dynaq,693,121
dynaq+,693,85
dynaq,694,39
dynaq+,694,55
dynaq,695,85
dynaq+,695,54
dynaq,696,43
dynaq+,696,114
dynaq,697,50
dynaq+,697,55
dynaq,698,53
dynaq+,698,71
dynaq,699,38
dynaq+,699,71
dynaq,700,54
dynaq+,700,45
dynaq,701,37
dynaq+,701,57
dynaq,702,44
dynaq+,702,56
dynaq,703,44
dynaq+,703,37
dynaq,704,72
dynaq+,704,41
dynaq,705,51
dynaq+,705,92
dynaq,706,185
